N,bias_alpha,bias_nu,bias_tau,sq_error_alpha,sq_error_nu,sq_error_tau
10,0.08969421858889293,0.5847599598604114,0.4257242730653125,0.008045052848272106,0.34194421065594993,0.18124115667698878
10,0.24036411603545993,-0.1324499950736635,-0.10930873375308003,0.057774908277508044,0.017543001195013487,0.011948399274701739
10,-0.0902203987357939,-0.2805789710088884,-0.04979355952088893,0.008139720348045642,0.07872455897240664,0.0024793985697603087
10,0.3237824101648201,-0.0522343976819315,-0.14867669499695757,0.10483504913213981,0.002728432301194171,0.02210475963521835
10,0.03483740294908011,-0.2654126313409566,-0.27688615271800177,0.0012136446442365756,0.07044386487533054,0.07666594156697659
10,0.30751797662780844,-0.8193758669532536,-0.14476408433996027,0.09456730594926134,0.671376811345396,0.02095664011478713
10,-0.038664094462887544,0.3133863535311028,0.07379933397566713,0.0014949122006350912,0.09821100657952134,0.005446341695252056
10,0.20243337975748166,-0.19615663315777665,-0.12341768476934323,0.040979273240036786,0.03847742473179456,0.015231924913824975
10,0.09249305641518712,0.19621511611880482,0.03255045890876607,0.008554965485022988,0.03850037179351606,0.0010595323751712681
10,0.08041688720579832,-1.255772394068494,-0.05168162426807449,0.006466875747870089,1.5769643057045168,0.0026709902869864258
10,-0.027591352458491647,-0.6053489716447595,-0.08329823730738994,0.0007612827304887131,0.3664473774713679,0.00693859633851825
10,0.05765697403144543,-0.23921164800604955,-0.1599221427116458,0.0033243266544627724,0.05722221254177015,0.025575091729484002
10,-0.19586118724074386,-0.37693797262744,0.1332580124405771,0.03836160466735373,0.1420822352084847,0.017757697879613003
10,0.3130229698627701,0.28689087548814785,-0.15589127494007732,0.09798337966170868,0.08230637443835595,0.02430208960244278
10,0.1677109534396094,0.5103802326757794,-0.018874687359968126,0.02812696390362283,0.26048798190618266,0.00035625382293654053
10,0.05952982812470764,0.32659423189463577,0.1411851425827345,0.003543800436557233,0.10666379230684712,0.019933244486107074
10,-0.028504438572411694,-1.6779719284094199,0.010336804762247742,0.0008125030183283917,2.8155897925300275,0.0001068495326928276
10,-0.3203124520388667,-0.5417122501919969,0.25516519391854475,0.10260006693115128,0.2934521620080766,0.06510927618748855
10,0.008372153674413907,-0.11066928453263902,0.22549785330987943,7.009295714800229e-05,0.012247690538966216,0.0508492818473639
10,0.33145181348009656,-0.15379760778532447,-0.1900484371878633,0.10986030465924472,0.0236537041604885,0.03611840847754922
10,0.10050304474056326,0.36445556653452904,-0.03245743484826752,0.010100862002123661,0.13282785997800453,0.0010534850769295307
10,-0.1652836653769567,0.7093575107428172,0.15450094183264718,0.0273186900404418,0.503188078047246,0.023870541027175025
10,0.0054078691174564986,0.4450752116622829,-0.008150197038198304,2.924504839153973e-05,0.19809194403622593,6.64257117614564e-05
10,0.19520534954928803,-0.2030830009016118,-0.05941645528822104,0.03810512849265973,0.04124270525520406,0.0035303151590171697
10,0.6320531315688693,0.24379087482499084,-0.30995359083513474,0.39949116112601446,0.05943399064793436,0.09607122847159412
10,-0.034241511531439506,0.43149078331678736,-0.00436545059505189,0.0011724811119577046,0.18618429608733475,1.9057158897838898e-05
10,-0.24942865607389186,0.27853928663114125,0.1717034733205929,0.06221465447082783,0.07758413419698507,0.029482082750355562
10,0.41067458412202384,-0.27653433547296036,-0.05819624799899728,0.16865361404379725,0.07647123869547177,0.003386803281160795
10,0.09543874202386393,0.20952320470016206,-0.10716412525332694,0.00910855347909765,0.04389997330782601,0.011484149741310744
10,-0.0011996645652483373,-0.2929999128967966,-0.03460146458894697,1.439195069112482e-06,0.0858489489575304,0.0011972613517001512
10,0.18327591586027858,0.7897893424486373,-0.06836998262334473,0.03359006133442392,0.6237672054454508,0.00467445452391646
10,0.10170697470362211,0.9412468280098567,0.008014005528317436,0.010344308703363229,0.8859455912386168,6.422428460790243e-05
10,0.1267874624265014,-0.16209822748429425,-0.05518423684753182,0.016075060628551505,0.02627583535355001,0.0030452999964444886
10,0.25252022132164975,0.28214472482449293,-0.2351015113964725,0.06376646217633497,0.07960564574628884,0.05527272066090569
10,-0.07542179809056593,-0.3621084890680377,0.016147122935628033,0.005688447627214094,0.13112255785513718,0.00026072957909828486
10,0.3619422363281952,0.12730565261326499,-0.17046123730531548,0.13100218243825512,0.0162067291872893,0.02905703342365908
10,0.005582798085966956,-1.9091137643452258,-0.03179095325879561,3.11676344686763e-05,3.6447153652123987,0.001010664709102927
10,0.09832661594720893,0.04466257169762988,-0.193856701365897,0.009668123403629922,0.00199474531064593,0.03758042066446657
10,0.004511961259184738,0.8870856074338823,0.004163488150846384,2.0357794404383928e-05,0.78692087491634,1.7334633582238242e-05
10,0.12729159321676176,0.29717631323754834,-0.24707132391351727,0.01620314970366155,0.08831376114946145,0.06104423910037817
