N,bias_alpha,bias_nu,bias_tau,sq_error_alpha,sq_error_nu,sq_error_tau
10,0.362913842973265,0.3345720199291984,-0.048818308859706616,0.13170645742162365,0.11193843651950391,0.0023832272799217094
10,0.07964534898131037,-0.029744621606946353,0.049926170171079864,0.006343381614354717,0.0008847425145404198,0.002492622467951625
10,-0.11142013795302996,0.20126266168965096,0.07395114941233943,0.012414447141472228,0.04050665899040289,0.005468772499406151
10,-0.24022735440076692,-0.12411209340515761,0.18592968302812904,0.05770918180239167,0.015403811729410567,0.034569847030940536
10,0.02514340994126607,-0.2129925834947788,-0.1093501409364599,0.0006321910634745575,0.04536584062378031,0.011957453322823643
10,0.15279394381996836,0.5801433393612156,-0.0408801548104859,0.02334598926805965,0.33656629420518264,0.0016711870573292936
10,-0.11094760638499679,-0.21794555821873263,0.13879241481728966,0.012309371362560181,0.04750026634727497,0.019263334410814605
10,-0.08301783570381371,-0.7822257385830806,-0.019778958572334165,0.006891961044945407,0.611877106101846,0.00039120720220611115
10,0.2916510845911795,0.1711997812918959,-0.019979719665545403,0.08506035514321134,0.029309365114392985,0.0003991891979137817
10,0.07192614270574949,0.817576202341958,-0.006054030338886018,0.00517337000452784,0.6684308466358984,3.665128334415236e-05
10,-0.009989154973260028,-0.02886591521926163,-0.017303635868587186,9.978321707980555e-05,0.0008332410614456001,0.00029941581427265704
10,-0.148575680064438,0.005906460428616311,0.04138112588979104,0.02207473270661024,3.488627479481038e-05,0.001712397579906734
10,-0.15978140999692836,-1.1255597375750948,-0.07263721305793615,0.025530098980606517,1.266884722850116,0.00527616472082401
10,nan,0.5044484382499935,nan,nan,0.2544682268528575,nan
10,0.4756129043950057,-0.012850723112185491,-0.16998934160202506,0.22620763482705283,0.00016514108450605837,0.028896376258289967
10,0.012774457799147543,0.18001091063582136,0.12282580370494489,0.00016318677206220148,0.032403927947937665,0.015086178055765655
10,0.13938735768259458,0.7178425229541933,-0.012525359696718918,0.01942883548173556,0.5152978877612415,0.00015688463553219063
10,nan,0.8581464902095316,nan,nan,0.7364153986589377,nan
10,nan,0.9151485602561842,nan,nan,0.8374968873389668,nan
10,0.0011900554855368561,0.33626579841269033,0.06930685376269331,1.4162320586563624e-06,0.11307468718212409,0.0048034399784833565
10,-0.19885857972686605,0.14184787229270834,0.0894684620614179,0.03954473473098634,0.020120818873968497,0.008004605703635374
